algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,best,['insert'],c_and_w,N-be75eec_150,9642140,3381254,0.127902,
vnd,first,['transpose'],random,N-be75eec_150,41570193,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,41570193,2657351,3e-05,
vnd,first,['exchange'],random,N-be75eec_150,41570193,3396593,0.356254,
vnd,first,['exchange'],c_and_w,N-be75eec_150,41570193,3379429,0.313851,
vnd,first,['insert'],random,N-be75eec_150,41570193,3328604,0.145349,
vnd,first,['insert'],c_and_w,N-be75eec_150,41570193,3333196,0.139752,
vnd,best,['transpose'],random,N-be75eec_150,41570193,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,41570193,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,41570193,3373535,0.077753,
vnd,best,['exchange'],c_and_w,N-be75eec_150,41570193,3346308,0.068128,
vnd,best,['insert'],random,N-be75eec_150,41570193,3369650,0.113997,
vnd,best,['insert'],c_and_w,N-be75eec_150,41570193,3381254,0.12115,
vnd,first,['transpose'],random,N-be75eec_150,1541596,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,1541596,2657351,1.3e-05,
vnd,first,['exchange'],random,N-be75eec_150,1541596,3396593,0.42496,
vnd,first,['exchange'],c_and_w,N-be75eec_150,1541596,3379429,0.32195,
vnd,first,['insert'],random,N-be75eec_150,1541596,3328604,0.123532,
vnd,first,['insert'],c_and_w,N-be75eec_150,1541596,3333196,0.142681,
vnd,best,['transpose'],random,N-be75eec_150,1541596,2182589,2.6e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,1541596,2660170,2.9e-05,
vnd,best,['exchange'],random,N-be75eec_150,1541596,3373535,0.075014,
vnd,best,['exchange'],c_and_w,N-be75eec_150,1541596,3346308,0.061802,
vnd,best,['insert'],random,N-be75eec_150,1541596,3369650,0.117934,
vnd,best,['insert'],c_and_w,N-be75eec_150,1541596,3381254,0.156476,
vnd,first,['transpose'],random,N-be75eec_150,1743094,2169797,2.9e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,1743094,2657351,1.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,1743094,3396593,0.398838,
vnd,first,['exchange'],c_and_w,N-be75eec_150,1743094,3379429,0.333256,
vnd,first,['insert'],random,N-be75eec_150,1743094,3328604,0.147338,
vnd,first,['insert'],c_and_w,N-be75eec_150,1743094,3333196,0.146755,
vnd,best,['transpose'],random,N-be75eec_150,1743094,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,1743094,2660170,2.9e-05,
vnd,best,['exchange'],random,N-be75eec_150,1743094,3373535,0.096609,
vnd,best,['exchange'],c_and_w,N-be75eec_150,1743094,3346308,0.063046,
vnd,best,['insert'],random,N-be75eec_150,1743094,3369650,0.115666,
vnd,best,['insert'],c_and_w,N-be75eec_150,1743094,3381254,0.118197,
vnd,first,['transpose'],random,N-be75eec_150,837945,2169797,2.7e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,837945,2657351,3.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,837945,3396593,0.397697,
vnd,first,['exchange'],c_and_w,N-be75eec_150,837945,3379429,0.287372,
vnd,first,['insert'],random,N-be75eec_150,837945,3328604,0.116402,
vnd,first,['insert'],c_and_w,N-be75eec_150,837945,3333196,0.122812,
vnd,best,['transpose'],random,N-be75eec_150,837945,2182589,6.9e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,837945,2660170,7.5e-05,
vnd,best,['exchange'],random,N-be75eec_150,837945,3373535,0.06846,
vnd,best,['exchange'],c_and_w,N-be75eec_150,837945,3346308,0.058831,
vnd,best,['insert'],random,N-be75eec_150,837945,3369650,0.108785,
vnd,best,['insert'],c_and_w,N-be75eec_150,837945,3381254,0.122389,
vnd,first,['transpose'],random,N-be75eec_150,1155392,2169797,3e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,1155392,2657351,3.2e-05,
